,gender,marital_status,region,introversion_mapped,exposure,level_of_comfort,Conservatism,with_or_aginst_mixed_sex_universities
82,Male,Single,3,2,0.66666664,4.0,4.0,With mixed-sex universities
83,Male,Single,3,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
84,Male,Single,1,2,0.66666664,3.6666666666666665,2.0,With mixed-sex universities
85,Male,Single,2,0,0.66666664,4.0,1.0,With mixed-sex universities
86,Female,Married,1,2,0.66666664,4.0,3.0,With mixed-sex universities
87,Female,Single,1,1,0.0,3.6666666666666665,1.0,Against mixed-sex universities
88,Female,Single,2,2,0.66666664,2.6666666666666665,4.0,With mixed-sex universities
89,Male,Single,1,1,0.66666664,3.6666666666666665,0.3333333333333333,Against mixed-sex universities
90,Male,Single,1,2,0.66666664,3.6666666666666665,4.0,With mixed-sex universities
91,Male,Single,1,2,0.66666664,4.0,4.0,With mixed-sex universities
92,Male,Single,1,2,0.0,4.0,2.0,With mixed-sex universities
93,Male,Single,2,2,0.66666664,4.0,3.0,Against mixed-sex universities
94,Male,Single,1,1,0.66666664,4.0,2.0,With mixed-sex universities
95,Male,Single,2,0,0.0,3.6666666666666665,2.0,With mixed-sex universities
96,Male,Single,1,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
97,Male,Single,3,2,0.99999996,3.333333333333333,4.0,With mixed-sex universities
98,Female,Single,1,2,0.99999996,4.0,4.0,With mixed-sex universities
99,Male,Single,2,0,0.0,3.6666666666666665,2.0,With mixed-sex universities
100,Male,Single,1,2,0.66666664,3.6666666666666665,2.0,With mixed-sex universities
101,Male,Single,2,0,0.0,3.6666666666666665,2.0,With mixed-sex universities
102,Male,Single,1,2,0.66666664,3.6666666666666665,4.0,With mixed-sex universities
103,Male,Single,1,2,0.0,1.3333333333333333,3.0,Against mixed-sex universities
104,Female,Married,3,1,0.0,2.0,1.3333333333333333,Against mixed-sex universities
105,Female,Married,3,0,0.0,1.0,0.3333333333333333,Against mixed-sex universities
106,Male,Single,3,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
107,Male,Single,1,1,0.66666664,4.0,1.0,Against mixed-sex universities
108,Male,Single,2,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
