,introversion_mapped,exposure,level_of_comfort,Conservatism,gender_Male,marital_status_Single,region_Eastern,region_Nothern,region_Western,With mixed-sex universities
98,2,0.99999996,4.0,4.0,0,1,0,0,0,1
99,0,0.0,3.6666666666666665,2.0,1,1,0,0,1,1
100,2,0.66666664,3.6666666666666665,2.0,1,1,0,0,0,1
101,0,0.0,3.6666666666666665,2.0,1,1,0,0,1,1
102,2,0.66666664,3.6666666666666665,4.0,1,1,0,0,0,1
103,2,0.0,1.3333333333333333,3.0,1,1,0,0,0,0
104,1,0.0,2.0,1.3333333333333333,0,0,1,0,0,0
105,0,0.0,1.0,0.3333333333333333,0,0,1,0,0,0
106,1,0.66666664,3.6666666666666665,3.0,1,1,1,0,0,1
107,1,0.66666664,4.0,1.0,1,1,0,0,0,0
108,1,0.66666664,3.6666666666666665,3.0,1,1,0,0,1,1
