,model,accuracy,precision,recall,f1_score,data_type
0,logistic_regression,0.7571428571428571,0.7971428571428572,0.8766666666666667,0.8143434343434344,training
1,logistic_regression,0.8083333333333332,0.8833333333333332,0.8833333333333332,0.86,testing
2,SVC,0.8125,0.832857142857143,0.8975000000000002,0.8503091353091353,training
3,SVC,0.8833333333333332,0.9333333333333332,0.9333333333333332,0.9099999999999999,testing
4,RandomForest,0.8535714285714286,0.8847619047619049,0.9023809523809524,0.8866045066045066,training
5,RandomForest,0.9083333333333332,0.9333333333333332,0.9666666666666666,0.93,testing
6,KNeighbors,0.8303571428571429,0.8847619047619049,0.8714285714285716,0.863088023088023,training
7,KNeighbors,0.7833333333333333,0.85,0.8833333333333332,0.8466666666666667,testing
